key	en	ru	fr	ko	ar
main.popular	Popular	Популярные	Populaire	인기 있는	شائع
main.popular-t	Watching now	Смотрят сейчас	Regarder maintenant	보고있다	أشاهد الآن
main.best	Best	Лучшее	Meilleur	최상의	أفضل
main.best-t	Best of all time	Лучшее за все время	Le meilleur de tous les temps	역대 최고	الأفضل على الإطلاق
main.antisipated	Antisipated	Ожидаемые	Antisipé	예상되는	متوقع
main.antisipated-t	Coming soon	Скоро в кино	À venir	곧 출시 예정	قريباً
nav.profile	My Profile	Мой Профиль	Mon profil	내 프로필	ملفي
nav.moovies	My Movies	Мои Фильмы	Mes films	내 영화	أفلامي
nav.language-t	Language	Язык	Langue	언어	لغة
nav.language-en	English	Английский	Anglais	영어	إنجليزي
nav.language-ru	Russian	Русский	Russe	러시아인	الروسية
nav.language-fr	French	Французский	Français	프랑스 국민	فرنسي
nav.language-ko	Korean	Корейский	Coréen	한국인	الكورية
nav.language-ar	Arabic	Арабский	Arabe	아라비아 말	عربي
nav.theme-t	Theme	Тема	Thème	주제	سمة
nav.theme-light	Light	Светлая	Lumière	빛	ضوء
nav.theme-dark	Dark	Темная	Sombre	어두운	مظلم
nav.theme-sys	Device	Устройство	Appareil	장치	جهاز
nav.appearance-t	Appearance	Вид	Apparence	모습	مظهر
nav.appearance-tile	Tile	Плитка	Tuile	타일	بلاط
nav.appearance-list	List	Список	Liste	목록	قائمة
main-t	Main	Главная	Principal	기본	رئيسي
favorite-t	My Movies	Мои Фильмы	Mes films	내 영화	أفلامي
stat-t	Statistics	Статистика	Statistiques	통계	إحصائيات
search-t	Search	Поиск	Recherche	찾다	يبحث
manage-t	Manage	Управление	Gérer	관리하다	يدير
user-t	User	Профиль	Utilisateur	사용자	مستخدم
login-t	Login	Авторизоваться	Se connecter	로그인	تسجيل الدخول
ban-t	Account Banned	Аккаунт Заблокирован	Compte banni	계정이 금지되었습니다	الحساب محظور
search.extended	Extended Search	Расширенный Поиск	Recherche étendue	확장검색	بحث موسع
search.keyword	Keyword	Ключевое слово	Mot-clé	예어	الكلمة الرئيسية
search.keyword-place	Enter the title	Введите название	Entrez le titre	제목을 입력하세요	أدخل العنوان
search.country	Country	Страна	Pays	국가	دولة
search.country-place	Choose the country	Выберите страну	Choisissez le pays	국가를 선택하세요	اختر البلد
search.genre	Genre	Жанр	Genre	장르	النوع
search.genre-place	Choose the genre	Выберите жанр	Choisissez le genre	장르를 선택하세요	اختر النوع
search.rating	Rating	Рейтинг	Notation	평가	تقييم
search.year	Year	Год	Année	년도	سنة
search.from	from	от	depuis	~에서	من
search.to	to	до	à	에게	ل
search.initial-msg	Adjust the settings for a better search experience	Настройте параметры для лучшего поиска.	Ajustez les paramètres pour une meilleure expérience de recherche	더 나은 검색 환경을 위해 설정을 조정하세요.	اضبط الإعدادات للحصول على تجربة بحث أفضل
search.empty-msg	Nothing found, try changing your search parameters	Ничего не найдено, попробуйте изменить параметры поиска	Rien trouvé, essayez de modifier vos paramètres de recherche	아무것도 찾지 못했습니다. 검색 매개변수를 변경해 보세요.	لم يتم العثور على أي شيء، حاول تغيير معلمات البحث الخاصة بك
search.found	Found	Найдено	Trouvé	설립하다	وجد
search.input-p	Search by title	Поиск по названию	Recherche par titre	제목으로 검색	البحث حسب العنوان
search.input-recent	Recent queries	Недавние запросы	Requêtes récentes	최근 쿼리	الاستفسارات الأخيرة
search.input-results	Results	Результаты	Résultats	결과	نتائج
search.by-count	By Ratings Number	По Количеству Оценок	Par numéro de notation	등급 번호별	حسب رقم التقييمات
search.by-rating	By Rating	По Рейтингу	Par note	평점별	حسب التقييم
search.by-date	By Date	По Дате Выхода	Par date	날짜별	حسب التاريخ
favorite.all	All	Все	Tous	모두	الجميع
favorite.userscore	With My Rating	С Моей Оценкой	Avec ma note	내 평점으로	مع تقييمي
favorite.will	Will Watch	Буду Смотреть	Regarderai	지켜볼 것이다	سوف أشاهد
favorite.hidden	Hidden	Скрытые	Caché	숨겨진	مختفي
favorite.empty-msg	Before continuing, please add a movie to your 'Will Watch' list or give it a rating	Прежде чем продолжить, добавьте какой-нибудь фильм в список 'Буду Cмотреть' или поставьте оценку	Avant de continuer, veuillez ajouter un film à votre liste « À regarder » ou lui attribuer une note.	계속하기 전에 '볼만한 영화' 목록에 영화를 추가하거나 평가해 주세요.	قبل المتابعة، يرجى إضافة فيلم إلى قائمة "سوف تشاهده" أو تقييمه
favorite.remove-t	Removal	Удаление	Suppression	제거	إزالة
favorite.unauth-msg	You must log in	Необходимо авторизоваться	Vous devez vous connecter	로그인해야 합니다.	يجب عليك تسجيل الدخول
favorite.remove-all	Remove from all lists	Удалить из всех списков	Supprimer de toutes les listes	모든 목록에서 제거	إزالة من كافة القوائم
favorite.remove-from-list	from	из списка	depuis	~에서	من
favorite.remove-b	Are you sure you want to delete	Вы действительно хотите удалить	Etes-vous sûr que vous voulez supprimer	삭제 하시겠습니까	هل أنت متأكد أنك تريد حذف
stat.ratings	Ratings	Оценки	Notes	평가	التقييمات
stat.ratings-my	My Movie Ratings	Мои Оценки	Mes classements de films	내 영화 평점	تقييمات أفلامي
stat.ratings-film	Film Ratings	Рейтинг Фильма	Classements des films	영화 등급	تقييمات الأفلام
stat.cag	Countries and Genres	Страны и Жанры	Pays et genres	국가 및 장르	البلدان والأنواع
stat.cag-data	Data	Данные	Données	데이터	بيانات
stat.cag-data-genre	Genres	Жанры	Genre	장르	الأنواع
stat.cag-data-country	Countries	Страны	Des pays	국가	بلدان
stat.cag-sort	Sort By	Сортировать по	Trier par	정렬 기준	ترتيب حسب
stat.cag-sort-count	Count	Количеству	Compter	세다	عدد
stat.cag-sort-userscore	My Rating	Моей Оценке	Mon classement	내 평가	تقييمي
stat.cag-sort-rating	Movie Raing	Рейтингу Фильма	Film Raing	영화 비	فيلم رينج
